Date,Year,Month,MonthNum,WeekStart,DayOfWeek,IsWeekday,IsPublicHoliday,PublicHolidayName,WorkType,PersonId,PersonName,Role,Level,Practice,HomeLocation,FTE,ProjectCode,ProjectName,AllocationPct,Hours,Notes
2026-01-01,2026,Jan,1,2025-12-29,Thu,TRUE,FALSE,,Actual,P0001,Riley Hall,Consultant,Senior,Advisory,Adelaide,1,PRJ-0013,Spark Rollout,73,6.4,
2026-01-01,2026,Jan,1,2025-12-29,Thu,TRUE,FALSE,,Actual,P0002,Skyler Nguyen,Consultant,Associate,Architecture,Brisbane,1,,,0,0,Unassigned/Bench
2026-01-01,2026,Jan,1,2025-12-29,Thu,TRUE,FALSE,,Actual,P0003,Cameron Hall,Project Manager,Graduate,Architecture,Adelaide,1,PRJ-0009,Pulse Discovery,82,5.72,
2026-01-01,2026,Jan,1,2025-12-29,Thu,TRUE,FALSE,,Actual,P0004,Rowan Jones,Architect,Associate,Delivery,Sydney,1,PRJ-0001,Nimbus Upgrade,105,10.15,Incident support
2026-01-01,2026,Jan,1,2025-12-29,Thu,TRUE,FALSE,,Actual,P0005,Riley Green,Architect,Principal,PMO,Adelaide,1,,,0,0,Unassigned/Bench
2026-01-01,2026,Jan,1,2025-12-29,Thu,TRUE,FALSE,,Actual,P0006,Quinn Nguyen,Project Manager,Senior,Architecture,Sydney,1,,,0,0,Unassigned/Bench
2026-01-01,2026,Jan,1,2025-12-29,Thu,TRUE,FALSE,,Actual,P0007,Jamie Baker,Architect,Associate,Advisory,Melbourne,0.6,PRJ-0051,Helix Implementation,83,2.86,
2026-01-01,2026,Jan,1,2025-12-29,Thu,TRUE,FALSE,,Actual,P0008,Casey Brown,Consultant,Principal,Delivery,Brisbane,0.6,PRJ-0019,Aurora Optimisation,125,4.56,
2026-01-01,2026,Jan,1,2025-12-29,Thu,TRUE,FALSE,,Actual,P0009,Reese Hall,Architect,Principal,Delivery,Brisbane,0.8,,,0,0,Unassigned/Bench
2026-01-01,2026,Jan,1,2025-12-29,Thu,TRUE,FALSE,,Actual,P0010,Hayden Young,Architect,Senior,Delivery,Sydney,1,,,0,0,Unassigned/Bench
